Date,Shanghai Pudong Development Bank,China Petroleum & Chemical Corporation,CITIC Securities,Sany Heavy Industries,China Merchants Bank,Poly Real Estate,China United Network Communications,SAIC Motor,Shanghai Fosun Pharmaceutical,Jiangsu Hengrui Pharmaceuticals,Wanhua Chemical Group,Zhangzhou Pientzehuang Pharmaceutical,Tongwei Company,Kweichow Moutai,Shandong Gold Mining,Hundsun Technologies,Anhui Conch Cement,Yonyou Network Technology,Haier Smart Home,Wingtech Technology [zh],Shanxi Xinghuacun Fen Wine Factory,Haitong Securities,Yili Group,AECC Aviation Power [zh],China Yangtze Power,China Shenhua Energy,Industrial Bank,Ping An Insurance,Industrial and Commercial Bank of China,China Pacific Insurance,China Life Insurance,PetroChina,Zijin Mining Group,Cosco Shipping
Sector,Banking,Oil & gas,Financial services,None,Banking,Real estate,Telecommunication,Automotive,Pharmaceutical,Pharmaceutical,Chemical,Pharmaceutical,None,Beverages,Mining,None,None,None,None,None,None,Financial services,Dairy,None,None,Energy,Banking,Insurance,Banking,Insurance,Insurance,Oil & gas,Mining,None
2008-01-02,12.174898147583,17.8538455963135,28.8633327484131,9.17216110229492,27.7586841583252,8.26758670806885,12.3000001907349,20.5230751037598,10.3800001144409,3.9805760383606,24.6794872283936,9.28621482849121,7.02500009536743,166.806915283203,11.1084184646606,4.29824209213257,25.0400009155273,4.23554182052612,6.00750017166138,3.80012202262878,13.2642850875855,26.8449993133545,4.42361116409302,5.34499979019165,13.0133333206177,63.939998626709,17.9900646209717,51.4949989318848,7.94009494781494,48.6100006103516,56.4799995422363,30.5799999237061,9.27999973297119,34.9307708740234
2008-01-03,11.5655851364136,18.2923069000244,28.3366661071777,9.38868522644043,27.1291065216064,8.15253067016602,11.75,20.8999996185303,10.3999996185303,3.98540091514587,25.25,9.38757228851318,7.25,160.894058227539,12.2193870544434,4.54604911804199,24.5166664123535,4.38672780990601,6.13500022888184,3.80012202262878,13.3500003814697,26.0849990844727,4.49722194671631,5.34499979019165,13.3466663360596,65.0699996948242,17.3562679290771,50.9150009155273,7.92044115066528,48.810001373291,55.4900016784668,31.0799999237061,9.27999973297119,35.3230743408203
2008-01-04,12.0521259307861,18.3076915740967,29.5,9.32030868530273,27.4653587341309,8.64309883117676,11.8199996948242,20.7384605407715,10.1999998092651,3.8206639289856,24.9615383148193,9.15107345581055,7.24499988555908,161.712997436523,13.4413261413574,4.52718019485474,24.8633327484131,4.40776920318604,6.04250001907349,3.80012202262878,13.1464281082153,27.2399997711182,4.5097222328186,5.34499979019165,13.5200004577637,65.7600021362305,17.6557540893555,52.1100006103516,7.88113403320313,48.9900016784668,56.6699981689453,31.3099994659424,9.27999973297119,37.0999984741211
2008-01-07,12.7296457290649,18.1538467407227,30.1766662597656,9.56613731384277,27.9518508911133,8.68482208251953,11.960000038147,20.8461532592773,10.5133333206177,3.74760007858276,25.0384616851807,9.04488945007324,7.55000019073486,159.526672363281,13.1320152282715,4.42654800415039,25.0566654205322,4.56051397323608,6.09499979019165,3.80012202262878,12.9285707473755,27.4750003814697,4.60277700424194,5.34499979019165,13.5533332824707,67.9100036621094,18.3522338867187,51.1949996948242,7.83199977874756,48.5400009155273,55.9000015258789,31.0900001525879,9.27999973297119,36.4923057556152
2008-01-08,12.8205881118774,18.6307697296143,30.9599990844727,9.26984119415283,28.8389835357666,8.47999668121338,11.9399995803833,21.0307693481445,10.033332824707,3.79171395301819,26.1538467407227,8.94353294372559,7.25,161.555221557617,13.9751272201538,4.26427888870239,24.3299999237061,4.50128602981567,5.88250017166138,3.80012202262878,12.9535713195801,27.6000003814697,4.43472194671631,5.34499979019165,13.3199996948242,67.5899963378906,18.9303112030029,53.0449981689453,7.94992208480835,49.189998626709,58.1300010681152,30.9799995422363,9.27999973297119,36.7769241333008
2008-01-09,12.9274454116821,18.7538452148437,31.3466663360596,9.20634937286377,29.1966991424561,8.78723526000977,11.9799995422363,21.0769233703613,10.1066656112671,3.85374903678894,27.0833320617676,9.20657825469971,7.68499994277954,161.562728881836,14.4993619918823,4.47183322906494,24.5900001525879,4.51920986175537,5.96999979019165,3.80012202262878,13.0714282989502,28.1949996948242,4.50555515289307,5.34499979019165,13.460000038147,68.8300018310547,19.1079139709473,53.1049995422363,7.98922920227051,49.1100006103516,57.0699996948242,30.8199996948242,9.27999973297119,36.2153854370117
2008-01-10,12.9501810073853,18.2307682037354,31.0666656494141,9.32519340515137,29.4041748046875,9.47630596160889,12.8299999237061,21.7230758666992,9.9399995803833,3.89303803443909,27,9.02558326721191,7.75500011444092,163.095413208008,13.8392848968506,4.37749004364014,25.4099998474121,4.56285190582275,5.875,3.80012202262878,13.3892850875855,28.5249996185303,4.48194408416748,5.34499979019165,13.1400003433228,71,19.8426990509033,53.5400009155273,7.98922920227051,49.189998626709,58.439998626709,30.5599994659424,9.27999973297119,37.2999992370605
2008-01-11,14.0028381347656,17.9230766296387,31.5766658782959,9.43915271759033,30.7205657958984,9.60906219482422,12.6800003051758,21.3076915740967,9.96666622161865,3.86891293525696,26.6730766296387,8.89768123626709,7.75500011444092,162.299026489258,13.3029327392578,4.31082105636597,25.8133335113525,4.43504476547241,5.92000007629395,3.80012202262878,13.4642848968506,28.3600006103516,4.5625,5.34499979019165,12.8066663742065,70.120002746582,21.2426223754883,54.8450012207031,8.15628623962402,49.1500015258789,58.810001373291,30.7600002288818,9.27999973297119,36.3461532592773
2008-01-14,13.4571838378906,18.0076923370361,32.5366668701172,9.34961318969727,30.8636512756348,10.114803314209,12.7799997329712,21.0615386962891,10.0733327865601,3.89165902137756,26.2051277160645,8.96525192260742,7.48000001907349,168.384674072266,14.0529327392578,4.53850078582764,27.0633335113525,4.63376903533936,6.03499984741211,3.80012202262878,13.6928567886353,29.5349998474121,4.56388807296753,5.34499979019165,12.9200000762939,69.2600021362305,21.3331661224365,54.7200012207031,8.14645862579346,48.6100006103516,58.9700012207031,30.6100006103516,9.27999973297119,35.3538475036621
